"motor_cortex cell types as anatomical structures from Azimuth reference data",,,,,,,,,,,,
,,,,,,,,,,,,
"Author Name(s):","Azimuth & MC-IU",,,,,,,,,,,
"Author ORCID(s):",,,,,,,,,,,,
"Reviewer(s):",,,,,,,,,,,,
"General Publication(s):",,,,,,,,,,,,
"Data DOI:",,,,,,,,,,,,
"Date:","12/16/21",,,,,,,,,,,
"Version Number:","v1.0",,,,,,,,,,,
,,,,,,,,,,,,
"AS/1","AS/1/LABEL","AS/1/ID","AS/2","AS/2/LABEL","AS/2/ID","AS/3","AS/3/LABEL","AS/3/ID","AS/4","AS/4/LABEL","AS/4/ID","AS/4/COUNT"
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L2-5 PVALB HHIPL1","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",141
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L2-5 PVALB RPH3AL","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",820
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L3 PVALB SAMD13","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",338
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L3-5 PVALB ISG20","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",58
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L5 PVALB LRIG3","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",163
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L5-6 PVALB KCNIP2","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",27
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L5-6 PVALB ZFPM2-AS1","GABAergic neuron","CL:0000617","Pvalb_1","GABAergic neuron","CL:0000617",147
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L5-6 PVALB FAM150B","GABAergic neuron","CL:0000617","Pvalb_2","GABAergic neuron","CL:0000617",35
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L5-6 PVALB GAPDHP60","GABAergic neuron","CL:0000617","Pvalb_2","GABAergic neuron","CL:0000617",35
"GABAergic","GABAergic neuron","CL:0000617","Pvalb","GABAergic neuron","CL:0000617","Inh L5-6 PVALB MEPE","GABAergic neuron","CL:0000617","Pvalb_2","GABAergic neuron","CL:0000617",58
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1 PAX6 CHRFAM7A","GABAergic neuron","CL:0000617","Sncg_1","GABAergic neuron","CL:0000617",185
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1-6 VIP SLC7A6OS","GABAergic neuron","CL:0000617","Sncg_1","GABAergic neuron","CL:0000617",61
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L2 PAX6 FREM2","GABAergic neuron","CL:0000617","Sncg_2","GABAergic neuron","CL:0000617",108
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1-2 VIP HTR3A","GABAergic neuron","CL:0000617","Sncg_3","GABAergic neuron","CL:0000617",42
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1-2 VIP WNT4","GABAergic neuron","CL:0000617","Sncg_3","GABAergic neuron","CL:0000617",52
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1 PVALB SST ASIC4","GABAergic neuron","CL:0000617","Sncg_4","GABAergic neuron","CL:0000617",186
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1 SST DEFB108B","GABAergic neuron","CL:0000617","Sncg_4","GABAergic neuron","CL:0000617",223
"GABAergic","GABAergic neuron","CL:0000617","Sncg","GABAergic neuron","CL:0000617","Inh L1 SST P4HA3","GABAergic neuron","CL:0000617","Sncg_4","GABAergic neuron","CL:0000617",38
"GABAergic","GABAergic neuron","CL:0000617","Sst Chodl","GABAergic neuron","CL:0000617","Inh L1-6 SST NPY","GABAergic neuron","CL:0000617","Sst Chodl","GABAergic neuron","CL:0000617",67
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L3-5 SST CDH3","GABAergic neuron","CL:0000617","Sst_1","GABAergic neuron","CL:0000617",17
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5 SST RPL35AP11","GABAergic neuron","CL:0000617","Sst_1","GABAergic neuron","CL:0000617",270
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L3-5 SST OR5AH1P","GABAergic neuron","CL:0000617","Sst_2","GABAergic neuron","CL:0000617",78
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 PVALB SST CRHR2","GABAergic neuron","CL:0000617","Sst_2","GABAergic neuron","CL:0000617",68
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST ISX","GABAergic neuron","CL:0000617","Sst_2","GABAergic neuron","CL:0000617",113
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L1-2 SST CCNJL","GABAergic neuron","CL:0000617","Sst_3","GABAergic neuron","CL:0000617",97
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L1-2 SST PRRT4","GABAergic neuron","CL:0000617","Sst_3","GABAergic neuron","CL:0000617",123
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L1-3 SST FAM20A","GABAergic neuron","CL:0000617","Sst_3","GABAergic neuron","CL:0000617",367
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L2-3 SST NMU","GABAergic neuron","CL:0000617","Sst_3","GABAergic neuron","CL:0000617",153
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L3-5 SST GGTLC3","GABAergic neuron","CL:0000617","Sst_3","GABAergic neuron","CL:0000617",417
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST PAWR","GABAergic neuron","CL:0000617","Sst_4","GABAergic neuron","CL:0000617",65
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST PIK3CD","GABAergic neuron","CL:0000617","Sst_4","GABAergic neuron","CL:0000617",41
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST BEAN1","GABAergic neuron","CL:0000617","Sst_5","GABAergic neuron","CL:0000617",24
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST DNAJC14","GABAergic neuron","CL:0000617","Sst_5","GABAergic neuron","CL:0000617",9
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST C4orf26","GABAergic neuron","CL:0000617","Sst_6","GABAergic neuron","CL:0000617",35
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST FBN2","GABAergic neuron","CL:0000617","Sst_6","GABAergic neuron","CL:0000617",33
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L5-6 SST KLHL1","GABAergic neuron","CL:0000617","Sst_6","GABAergic neuron","CL:0000617",62
"GABAergic","GABAergic neuron","CL:0000617","Sst","GABAergic neuron","CL:0000617","Inh L6 SST TH","GABAergic neuron","CL:0000617","Sst_7","GABAergic neuron","CL:0000617",28
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-2 VIP EXPH5","GABAergic neuron","CL:0000617","Vip_1","GABAergic neuron","CL:0000617",219
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-3 VIP CBLN1","GABAergic neuron","CL:0000617","Vip_1","GABAergic neuron","CL:0000617",182
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-3 VIP HSPB6","GABAergic neuron","CL:0000617","Vip_1","GABAergic neuron","CL:0000617",157
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1 VIP KLHDC8B","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",37
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-2 VIP PTGER3","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",35
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-2 VIP SCML4","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",53
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-3 VIP CHRNA2","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",125
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-3 VIP FNDC1","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",39
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L2 VIP SLC6A16","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",122
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L3-5 VIP IGDCC3","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",169
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L3-5 VIP TAC3","GABAergic neuron","CL:0000617","Vip_2","GABAergic neuron","CL:0000617",145
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-5 VIP CD27-AS1","GABAergic neuron","CL:0000617","Vip_3","GABAergic neuron","CL:0000617",32
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-5 VIP SMOC1","GABAergic neuron","CL:0000617","Vip_3","GABAergic neuron","CL:0000617",249
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L2-5 VIP BSPRY","GABAergic neuron","CL:0000617","Vip_3","GABAergic neuron","CL:0000617",38
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L3-5 VIP HS3ST3A1","GABAergic neuron","CL:0000617","Vip_3","GABAergic neuron","CL:0000617",104
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L5-6 VIP COL4A3","GABAergic neuron","CL:0000617","Vip_3","GABAergic neuron","CL:0000617",37
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-5 VIP LINC01013","GABAergic neuron","CL:0000617","Vip_4","GABAergic neuron","CL:0000617",56
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L1-5 VIP PHLDB3","GABAergic neuron","CL:0000617","Vip_4","GABAergic neuron","CL:0000617",29
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L2-5 VIP SOX11","GABAergic neuron","CL:0000617","Vip_4","GABAergic neuron","CL:0000617",63
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L3-6 VIP UG0898H09","GABAergic neuron","CL:0000617","Vip_4","GABAergic neuron","CL:0000617",53
"GABAergic","GABAergic neuron","CL:0000617","Vip","GABAergic neuron","CL:0000617","Inh L3-6 VIP ZIM2-AS1","GABAergic neuron","CL:0000617","Vip_4","GABAergic neuron","CL:0000617",56
