,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"AS/1","AS/1/LABEL","AS/1/ID","AS/2","AS/2/LABEL","AS/2/ID","AS/2/COUNT"
"Dendritic","dendritic cell","CL_0000451","Myeloid Dendritic Type 2","myeloid dendritic cell","CL_0000782",266
"Myofibroblast","myofibroblast cell","CL_0000186","Myofibroblast","myofibroblast cell","CL_0000186",248
"Natural Killer","natural killer cell","CL_0000623","Natural Killer","natural killer cell","CL_0000623",4769
"Natural Killer T","mature NK T cell","CL_0000814","Natural Killer T","mature NK T cell","CL_0000814",335
"Neuroendocrine","neuroendocrine cell","CL_0000165","Neuroendocrine","neuroendocrine cell","CL_0000165",11
"CD16+ Monocyte","CD14-low, CD16-positive monocyte","CL_0002396","Nonclassical Monocyte","non-classical monocyte","CL_0000875",804
"CD14+ Monocyte","CD14-positive, CD16-negative classical monocyte","CL_0002057","OLR1+ Classical Monocyte","classical monocyte","CL_0000860",207
"Pericyte","pericyte cell","CL_0000669","Pericyte","pericyte cell","CL_0000669",1608
"Plasma","plasma cell","CL_0000786","Plasma","plasma cell","CL_0000786",187
"Plasmacytoid Dendritic","plasmacytoid dendritic cell","CL_0000784","Plasmacytoid Dendritic","plasmacytoid dendritic cell","CL_0000784",137
"Platelet/Megakaryocyte","myeloid cell","CL_0000763","Platelet/Megakaryocyte","myeloid cell","CL_0000763",40
"Basal","basal cell","CL_0000646","Proliferating Basal","basal cell","CL_0000646",47
"Proliferating Macrophage","macrophage","CL_0000235","Proliferating Macrophage","macrophage","CL_0000235",226
"Proliferating NK/T","lymphocyte","CL_0000542","Proliferating NK/T","lymphocyte","CL_0000542",105
"Basal","basal cell","CL_0000646","Proximal Basal","basal cell","CL_0000646",157
"Ciliated","ciliated cell","CL_0000064","Proximal Ciliated","ciliated cell","CL_0000064",88
"Serous","serous secreting cell","CL_0000313","Serous","serous secreting cell","CL_0000313",24
"Alveolar Epithelial Type 2","type II pneumocyte","CL_0002063","Signaling Alveolar Epithelial Type 2","type II pneumocyte","CL_0002063",669
"Dendritic","dendritic cell","CL_0000451","TREM2+ Dendritic","dendritic cell","CL_0000451",159
"Smooth Muscle","smooth muscle cell","CL_0000192","Vascular Smooth Muscle","vascular associated smooth muscle cell","CL_0000359",469
"Vein","vein","UBERON_0001638","Vein","vein","UBERON_0001638",1155
