"","Label","OBO Ontology ID","Markers"
"16","Intermediate Monocyte","[intermediate monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002393)","COTL1, LILRA2, ADGRE2, FCN1, FGR, LILRB2, AIF1, BACH1, TRABD, MFNG"
"17","Myeloid Dendritic Type 1","[myeloid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000782)","CSF2RA, CCL22, CCR7, FSCN1, DAPP1, BIRC3, LAMP3, TXN, ID2, GSN"
"18","Myeloid Dendritic Type 2","[myeloid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000782)","CD1C, HLA-DPB1, HLA-DPA1, HLA-DQA1, HLA-DQB1, HLA-DRA, FCER1A, IL2RG, CD1E, PKIB"
"19","Myofibroblast","[myofibroblast cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000186)","COL1A1, COL1A2, COL3A1, ASPN, LTBP1, COL6A3, ITGBL1, COL12A1, CTHRC1, TGFBI"
"20","Plasmacytoid Dendritic","[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000784)","PPP1R14B, IRF4, GZMB, IL3RA, IRF7, SMPD3, PLD4, PTPRE, NPC2, TYROBP"
"21","Proliferating Macrophage","[macrophage](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000235)","H2AFZ, CDK1, UBE2C, ANLN, NUSAP1, RHEB, TYMS, TPX2, BIRC5, KPNA2"
"22","Proliferating NK/T","[lymphocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000542)","NUSAP1, TOP2A, HMGB2, BIRC5, H2AFV, SMC4, CENPF, AURKB, UBE2C, KIF2C"
"23","Basal","[basal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000646)","KRT15, S100A2, KRT17, KRT5, KRT19, LAMB3, SFN, TNS1, CCND2, DST"
"24","Bronchial Vessel 1","[bronchial epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002328)","PLVAP, ZNF385D, POSTN, SPRY1, SPARCL1, VWF, EMCN, COL15A1, ENPP2, INHBB"
"25","CD8+ Naive T","[naive thymus-derived CD8-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000900)","CCL5, CD3D, GZMA, NKG7, CD3E, GZMB, CD2, ITGB1, LGALS1, CLIC3"
"26","Mucous","[mucus secreting cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000319)","SCGB3A1, BPIFB1, LCN2, SLPI, WFDC2, SCGB1A1, SAA1, RARRES1, MUC5B, MSMB"
"27","Vein","[vein](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001638)","VWF, SELP, SLCO2A1, LIFR, PLA1A, PTPRB, PRSS23, C7, CPE, ACKR1"
"28","Airway Smooth Muscle","[respiratory system smooth muscle](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0004225)","TPM2, DSTN, ACTA2, FLNA, MYH11, MYL9, PLN, CASQ2, KCNAB1, RERGL"
"29","EREG+ Dendritic","[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000451)","AREG, PLAUR, MXD1, GPR183, EREG, CSF2RA, RAB31, HLA-DPB1, HLA-DQA1, HLA-DRA"
"30","Pericyte","[pericyte cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000669)","COX4I2, PDGFRB, CALD1, TACC1, COL4A1, NID1, COL4A2, LAMC3, PTN, KCNK3"
"31","Artery","[artery](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/UBERON_0001637)","DKK2, PTPRB, EFNB2, EPAS1, GJA5, HEY1, ARGLU1, FBLN5, SEMA3G, BMX"
"32","Basophil/Mast 1","[myeloid leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000766)","CPA3, KIT, HPGDS, TPSAB1, SLC18A2, MS4A2, RGS13, GNPTAB, KIF13B, HIPK2"
"33","Capillary Aerocyte","[capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002144)","HPGD, APP, EDNRB, EMCN, ESAM, STXBP6, PRX, CYP3A5, SOSTDC1, TBX2"
"34","Capillary Intermediate 2","[capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002144)","EPAS1, SH3BP5, WWTR1, RALA, PECAM1, GALNT18, ARHGAP29, VAT1, SRSF11, YWHAB"
"35","Bronchial Vessel 2","[bronchial epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002328)","TM4SF1, SOX17, SOCS3, EMP1, ITPRIP, ARID5A, ESAM, RGCC, CD200, LPAR6"
"36","IGSF21+ Dendritic","[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000451)","FOLR2, MS4A6A, STAB1, F13A1, FCGR2A, C1QA, CTSB, LGMN, MAF, CCL13"
"37","Proliferating Basal","[basal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000646)","NMU, PTTG1, TOP2A, BIRC5, CENPF, TPX2, CKAP2, MKI67, HMGB2, CENPE"
"38","Nonclassical Monocyte","[non-classical monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000875)","LST1, AIF1, FCGR3A, LILRB2, BID, CTSS, COTL1, NAAA, SPN, LYPD2"
"39","CD8+ Memory/Effector T","[CD8-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000625)","DUSP2, CCL5, CD8A, CST7, NKG7, CD3E, IL32, RPL34, IL7R, TC2N"
"40","CD4+ Naive T","[naive thymus-derived CD4-positive, alpha-beta T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000895)","MAL, LTB, CCR7, SIRPG, NOSIP, LEF1, IL23A, TSHZ2, TSR1, ATF7IP2"
"41","Differentiating Basal","[basal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000646)","PERP, GPR87, AQP3, PROM2, RAB25, KRT19, BAG1, KRT7, XBP1, PLA2G10"
"42","Lipofibroblast","[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057)","WT1, STEAP1, FGF7, MEDAG, OSR1, CPXM1, CCDC71L, PTMA, DMKN, PPA1"
"43","Mesothelial","[mesothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000077)","GALNT9, ITLN1, WT1, MGARP, PRG4, ALDH1A3, C3, C1S, SERPING1, GFPT2"
"44","Platelet/Megakaryocyte","[myeloid cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000763)","TUBB1, CMTM5, ACRBP, PF4, GP9, CABP5, ITGA2B, WRB, MAP3K7CL, GRAP2"
"45","TREM2+ Dendritic","[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000451)","APOE, CHIT1, PLA2G2D, SLAMF8, PLA2G7, LILRB4, CAPG, CSTB, PDXK, APOC1"
"46","Signaling Alveolar Epithelial Type 2","[type II pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002063)","SFTPC, SFTPA1, SFTPA2, NAPSA, SLC34A2, SFTPB, SELENBP1, SLPI, FABP5, ARC"
"47","Natural Killer T","[mature NK T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000814)","GNLY, CD7, CTSW, CCL5, CD2, ZFP36L2, CXCR4, LGALS1, DUSP4, S100A6"
"48","Capillary Intermediate 1","[capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002144)","EDNRB, AQP1, HPGD, CNN3, HLA-E, CLDN5, TMEM204, FCN3, EDN1, VWF"
"49","Vascular Smooth Muscle","[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359)","REM1, TPM1, ACTA2, TAGLN, CALD1, NEXN, MYH11, FSTL1, THY1, CFH"
"50","Basophil/Mast 2","[myeloid leukocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000766)","GPR65, SRGN, TNFRSF9, TPSAB1, CD69, BIRC3, GATA2, AREG, ICAM1, KDM6B"
"51","Fibromyocyte","[smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000192)","SCX, CNN1, FAM150A, PDLIM7, HSPB3, MYLK, RAMP1, SCUBE1, CSDC2, TBC1D10A"
"52","Goblet","[goblet cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000160)","S100P, CXCL17, FAM3D, WFDC2, GABRP, LCN2, PSCA, C3, MSMB, ZG16B"
"53","Ionocyte","[ionocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005006)","ASCL3, HEPACAM2, FOXI1, TMPRSS11E, ATP6V1B1, BSND, TMEM61, SMIM11, PSMG1, BIK"
"54","Neuroendocrine","[neuroendocrine cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000165)","PCSK1N, BEX1, SEC11C, CPE, NENF, PRDX2, CHGA, EGR1, FAM46A, SCGN"
"55","Proximal Basal","[basal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000646)","SERPINB13, SERPINB4, KRT19, CLCA2, KRT5, PERP, ADH7, TSPAN8, SUSD4, CLCA4"
"56","Proximal Ciliated","[ciliated cell](http://purl.obolibrary.org/obo/CL_0000064)","C1orf189, LINC01571, CALML4, CH17-340M24.3, AKAP14, CD24, HCG14, TP53AIP1, MRPL41, UCP2"
"57","Serous","[serous secreting cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000313)","ZG16B, LYZ, PRB4, PRB3, PRH2, PRR4, TCN1, LPO, PHB, TESC"
