"","Label","Expanded Label","OBO Ontology ID","Markers"
"31","Sst_3","Sst+ GABAergic neuron_3","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","GRIK1, NR2F2-AS1, NMU, THSD7A, EPSTI1, ZNF385D, ELFN1, ZMAT4, DKK2, SST"
"32","Sst_4","Sst+ GABAergic neuron_4","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","NMU, TMTC2, KLHL14, PTPRD, LINC00943, GRID2, C8orf87, MPPED2, PDCL2, SST"
"45","Sst_5","Sst+ GABAergic neuron_5","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","HGF, SEMA5A, ADGRF2, ERBB4, ITGA1, ZNF536, RND3, NEGR1, NXPH1, SST"
"35","Sst_6","Sst+ GABAergic neuron_6","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","KLHL14, L3MBTL4, ADAMTS20, PREX2, FBN2, SLC8A1, DCN, C8orf34, MCAM, SST"
"33","Sst_7","Sst+ GABAergic neuron_7","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","TH, SEMA6A, GABRQ, CACNA2D1, LAYN, TRHDE, SLA, RALYL, PTPRC, SST"
"34","Vip_1","Vip+ GABAergic neuron_1","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","SHISA8, ZMAT4, GPR149, KCNIP4, ASIC4, RYR3, RGS16, KLF12, CBLN1, VIP"
"7","Vip_2","Vip+ GABAergic neuron_2","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","VIP, GRIN2A, PPP1R1C, CDH20, CHRNA2, NRXN1, CALB2, DCC, NPR3, TAC3"
"30","Vip_3","Vip+ GABAergic neuron_3","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","SMOC1, TMEM132D, SLC22A3, EGFEM1P, CHRNA2, FRAS1, TAC3, SLIT2, PPP1R1C, VIP"
"38","Vip_4","Vip+ GABAergic neuron_4","[GABAergic neuron](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000617)","PTGFR, CSGALNACT1, PCDH18, PEX5L, CALB2, ADGRL3, LINC01497, KCNC2, PENK, VIP"
"3","VLMC","vascular lepotomeningeal cell","[brain pericyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_2000043)","COLEC12, COL1A2, TBX18, ITIH5, COL6A2, SRPX2, C7, FMO2, MFAP4, FOXD1"
